Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R301,49R9,R_0805_2012Metric,5.300000,-34.400000,-90.000000,top
R302,1k,R_0402_1005Metric,17.000000,-55.400000,-90.000000,top
R303,2M2,R_0402_1005Metric,18.100000,-54.400000,-90.000000,top
R304,2M2,R_0402_1005Metric,22.000000,-53.700000,0.000000,top
R305,6k8,R_0402_1005Metric,16.600000,-52.600000,0.000000,top
R306,0R,R_0402_1005Metric,14.000000,-32.100000,90.000000,top
R307,22k,R_0402_1005Metric,13.750000,-52.000000,-90.000000,top
R308,12k,R_0402_1005Metric,11.800000,-51.500000,0.000000,top
R309,1k,R_0402_1005Metric,12.300000,-45.750000,-90.000000,top
R310,1k,R_0402_1005Metric,13.800000,-45.750000,-90.000000,top
R401,0R,R_0402_1005Metric,46.000000,-32.250000,-90.000000,top
R402,10k,R_0402_1005Metric,46.000000,-44.000000,0.000000,top
R403,6k8,R_0402_1005Metric,45.090000,-46.300000,180.000000,top
R404,22k,R_0402_1005Metric,46.800000,-48.000000,90.000000,top
R405,12k,R_0402_1005Metric,48.600000,-48.500000,180.000000,top
R406,49R9,R_0402_1005Metric,47.900000,-53.750000,90.000000,top
SW201,RESET,SW_TL3365AF180QG,18.250000,-4.250000,90.000000,top
SW202,BOOTSEL,SW_TL3365AF180QG,12.250000,-4.250000,90.000000,top
U101,TLV62569DBV,SOT-23-5,47.250000,-10.750000,0.000000,top
U102,HT7533-1,SOT-89-3,32.100000,-46.250000,180.000000,top
U103,TLV9001IDBVR,SOT-23-5,33.000000,-51.750000,180.000000,top
U201,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,28.700000,-20.300000,-90.000000,top
U202,USBLC6-2SC6,SOT-23-6,52.400000,-21.500000,0.000000,top
U203,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,29.600000,-7.400000,90.000000,top
U301,REF3033AIDBZT,SOT-23,6.750000,-43.250000,0.000000,top
U302,TLV9001IDBVR,SOT-23-5,20.500000,-50.750000,270.000000,top
U303,ADC141S626CIMM_NOPB,VSSOP-10,13.250000,-39.500000,0.000000,top
U304,TLV9001IDBVR,SOT-23-5,13.950000,-49.100000,180.000000,top
U401,DAC7562SDGSR,VSSOP-10,45.500000,-39.500000,0.000000,top
U402,TLV9001IDBVR,SOT-23-5,46.600000,-50.900000,0.000000,top
Y201,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,19.300000,-15.400000,180.000000,top
